"cik","company.name","form.type","date.filed","nword.hits"
1702541,"RIVEX TECHNOLOGY CORP ","8-K","2019-08-13",11
1703073,"VIVIC CORP ","8-K","2019-12-31",1
1706509,"Cosmos Group Holdings Inc ","8-K","2019-07-19",2
1753648,"8i Enterprises Acquisition Corp ","8-K","2019-07-10",1
1766352,"CarrierEQ  Inc   DE","8-K","2019-12-17",3
51143,"INTERNATIONAL BUSINESS MACHINES CORP","8-K","2019-03-27",1
748268,"TimefireVR Inc ","8-K","2019-05-16",1
771999,"DOCUMENT SECURITY SYSTEMS INC","8-K","2019-08-07",2
836564,"PATRIOT SCIENTIFIC CORP","8-K","2019-04-15",1
837852,"IDEANOMICS  INC ","8-K","2019-03-11",3
862651,"Investview  Inc ","8-K","2019-12-04",1
908259,"MATEON THERAPEUTICS INC","8-K","2019-11-25",1
1086745,"DropCar  Inc ","8-K","2020-05-29",1
1352952,"CFN Enterprises Inc ","8-K","2020-04-07",3
1389518,"Tongji Healthcare Group  Inc ","8-K","2020-08-11",2
1415684,"MusclePharm Corp","8-K","2020-04-24",1
1442999,"ALTEROLA BIOTECH INC ","8-K","2020-12-08",1
1515139,"CurrencyWorks Inc ","8-K","2020-02-12",1
1519177,"SOLLENSYS CORP ","8-K","2020-08-11",1
1588489,"Grayscale Bitcoin Trust  BTC ","8-K","2020-02-14",3
1606698,"Alpine 4 Technologies Ltd ","8-K","2020-07-08",1
1614826,"Edge Data Solutions  Inc ","8-K","2020-01-16",3
1635748,"Zoompass Holdings  Inc ","8-K","2020-07-21",1
1641398,"TMSR HOLDING Co Ltd","8-K","2020-01-03",2
1697412,"Migom Global Corp ","8-K","2020-12-01",2
1730869,"OBITX  Inc ","8-K","2020-05-13",2
1748401,"VIVI HOLDINGS  INC ","8-K","2020-09-22",3
1748621,"Alberton Acquisition Corp","8-K","2020-03-09",1
1749849,"Organic Agricultural Co Ltd","8-K","2020-11-12",2
1795851,"Favo Realty  Inc","8-K","2020-02-04",3
748268,"Red Cat Holdings  Inc ","8-K","2020-10-05",1
941685,"IMAGEWARE SYSTEMS INC","8-K","2020-07-01",2
945983,"Wayside Technology Group  Inc ","8-K","2020-08-06",1
1011060,"EKIMAS Corp","8-K","2021-10-18",1
1021096,"Troika Media Group  Inc ","8-K","2021-05-25",13
102752,"VSE CORP","8-K","2021-12-09",1
1101680,"DZS INC ","8-K","2021-01-04",1
1104462,"New Century Resources Corp","8-K","2021-11-22",1
1126115,"LZG INTERNATIONAL  INC ","8-K","2021-10-28",1
1162896,"Creek Road Miners  Inc ","8-K","2021-12-23",4
1281984,"Social Life Network  Inc ","8-K","2021-08-19",1
1382943,"PREDICTIVE TECHNOLOGY GROUP  INC ","8-K","2021-06-21",2
1386044,"Freedom Holdings  Inc ","8-K","2021-12-29",1
1422892,"Sino Global Shipping America  Ltd ","8-K","2021-02-16",1
1432176,"Net Savings Link  Inc  DE","8-K","2021-02-24",1
1450307,"CORPORATE UNIVERSE INC","8-K","2021-11-17",1
1454742,"GOOD GAMING  INC ","8-K","2021-09-15",1
1475841,"National Bank Holdings Corp","8-K","2021-10-27",1
1491487,"Takung Art Co   Ltd","8-K","2021-07-22",4
1499275,"SANTO MINING CORP ","8-K","2021-02-25",3
1507605,"MARATHON DIGITAL HOLDINGS  INC ","8-K","2021-03-30",1
1510832,"Biopower Operations Corp","8-K","2021-07-06",3
1518720,"Force Protection Video Equipment Corp ","8-K","2021-02-17",2
1523486,"MOJO DATA SOLUTIONS  INC ","8-K","2021-09-21",5
1525852,"BOTS  Inc  PR","8-K","2021-07-15",6
1527702,"iQSTEL Inc","8-K","2021-10-06",1
1534154,"Ipsidy Inc ","8-K","2021-11-18",1
1534155,"Ameri Metro  Inc   formerly Yellowwood ","8-K","2021-12-17",1
1563227,"Sipup Corp","8-K","2021-10-06",7
1566243,"Arax Holdings Corp","8-K","2021-07-01",2
1579010,"Life On Earth  Inc ","8-K","2021-05-13",1
1584831,"OXBRIDGE RE HOLDINGS Ltd","8-K","2021-07-19",1
1593001,"NightFood Holdings  Inc ","8-K","2021-07-07",2
1600347,"GigWorld Inc ","8-K","2021-02-05",1
1604930,"Life Clips  Inc ","8-K","2021-07-15",4
1641398,"Code Chain New Continent Ltd","8-K","2021-02-01",21
1648365,"IWEB  Inc ","8-K","2021-07-28",1
1652842,"TrueNorth Quantum Inc ","8-K","2021-11-05",22
1681556,"GEX MANAGEMENT  INC ","8-K","2021-09-01",1
1713832,"HyreCar Inc ","8-K","2021-03-05",1
1725210,"Grayscale Ethereum Trust  ETH ","8-K","2021-01-07",1
1729997,"Grayscale Digital Large Cap Fund LLC","8-K","2021-10-06",5
1737372,"Sysorex  Inc ","8-K","2021-08-09",1
1745317,"Velodyne Lidar  Inc ","8-K","2021-08-02",1
1750106,"Alset EHome International Inc ","8-K","2021-03-18",1
1750106,"HF Enterprises Inc ","8-K","2021-01-12",2
1764443,"FHT Future Technology Ltd","8-K","2021-06-04",2
1766352,"Carrier EQ  LLC","8-K","2021-05-14",1
1781755,"BRP Group  Inc ","8-K","2021-12-21",1
1816114,"Enigma MPC","8-K","2021-01-05",2
1819989,"Cipher Mining Inc ","8-K","2021-09-08",2
1824403,"Roth CH Acquisition II Co","8-K","2021-05-12",1
1829311,"Sandy Springs Holdings  Inc ","8-K","2021-07-27",1
1839341,"Power   Digital Infrastructure Acquisition Corp ","8-K","2021-12-30",1
1844579,"ION Acquisition Corp 3 Ltd ","8-K","2021-07-26",1
1872292,"Rainmaker Worldwide Inc ","8-K","2021-12-28",1
1879726,"Sidus Space Inc ","8-K","2021-12-17",1
64463,"MECHANICAL TECHNOLOGY INC","8-K","2021-04-30",1
725394,"DALRADA FINANCIAL CORP","8-K","2021-07-27",4
857949,"China Green Agriculture  Inc ","8-K","2021-04-08",3
910073,"NEW YORK COMMUNITY BANCORP INC","8-K","2021-08-16",4
924396,"W Technologies  Inc ","8-K","2021-08-04",26
